Estación:       CHINIPAS,  CHIH
Operada por:    SMN EMAS
Longitud:       108°32'11"  Latitud: 27°23'34"  Altitud: 431

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL
25/01/2018 23:00       153       110      9.69     27.20      28.0         3     963.6       0.0     302.3
26/01/2018 00:00       244       191      3.94     12.80      24.3         9     964.2       0.0      25.7
26/01/2018 01:00       186       259      0.27      4.20      19.9        18     964.7       0.0       0.0
26/01/2018 02:00       103       117      0.48      4.30      15.6        24     965.2       0.0       0.0
26/01/2018 03:00       294       275      0.21      4.40      12.5        32     965.9       0.0       0.0
26/01/2018 04:00       294       300      1.02      5.00      10.4        34     966.4       0.0       0.0
26/01/2018 05:00       285       236      0.40      4.30       8.8        37     967.2       0.0       0.0
26/01/2018 06:00       230       281      0.56      5.00       7.3        41     967.8       0.0       0.0
26/01/2018 07:00       251       294      0.50      4.30       6.1        45     968.0       0.0       0.0
26/01/2018 08:00       246       228      0.28      3.80       4.7        48     968.2       0.0       0.0
26/01/2018 09:00       238       287      1.01      4.40       4.1        49     968.3       0.0       0.0
26/01/2018 10:00       240       169      0.20      4.30       3.1        52     968.4       0.0       0.0
26/01/2018 11:00       215       188      0.74      4.30       2.2        54     968.5       0.0       0.0
26/01/2018 12:00       228       237      0.37      3.80       1.4        56     969.0       0.0       0.0
26/01/2018 13:00       244       243      0.55      4.10       0.7        58     969.6       0.0       0.0
26/01/2018 14:00       197       190      0.32      3.90       0.6        58     970.1       0.0      29.5
26/01/2018 15:00       194       177      1.98      4.00       4.5        46     970.6       0.0     205.8
26/01/2018 16:00       197       225      2.08      4.90      10.5        29     970.8       0.0     416.3
26/01/2018 17:00       212       223      4.51      7.80      15.3        19     970.4       0.0     602.7
26/01/2018 18:00        98        65      1.89      8.10      19.7        12     969.3       0.0     731.0
26/01/2018 19:00       322       109      1.92     10.90      22.8        10     967.5       0.0     788.0
26/01/2018 20:00       238       238      3.73      8.40      25.2        10     965.8       0.0     768.7
26/01/2018 21:00       343       268      0.84     10.60      27.3        10     964.4       0.0     670.7
26/01/2018 22:00       280       281      6.94     15.10      28.0        10     963.6       0.0     498.5
26/01/2018 23:00       267       280      8.95     16.30      27.8        10     963.3       0.0     299.5
27/01/2018 00:00       219       232      3.72     12.30      24.8        13     963.3       0.0      28.5
27/01/2018 01:00       129       159      3.76      7.90      21.6        16     963.8       0.0       0.0
27/01/2018 02:00       115        96      1.33      6.40      17.7        23     964.4       0.0       0.0
27/01/2018 03:00       229       179      0.63      3.90      14.5        33     964.9       0.0       0.0
27/01/2018 04:00       208       170      0.17      3.80      11.6        40     965.3       0.0       0.0
27/01/2018 05:00       272       223      0.26      3.80      10.0        44     965.7       0.0       0.0
27/01/2018 06:00       255       253      0.55      4.90       8.5        48     966.1       0.0       0.0
27/01/2018 07:00       236       297      0.59      5.50       7.3        51     966.1       0.0       0.0
27/01/2018 08:00       263        64      0.57      3.90       6.3        51     966.3       0.0       0.0
27/01/2018 09:00       248       272      0.46      3.90       5.3        53     966.5       0.0       0.0
27/01/2018 10:00       233        77      0.58      3.80       4.4        56     966.6       0.0       0.0
27/01/2018 11:00       253       275      0.35      3.80       3.9        56     966.6       0.0       0.0
