03808 Camborne Observations at 12Z 22 Dec 2017
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1026.0     88   10.6   10.6    100   7.88    330      9  281.7  303.4  283.0
 1012.0    202   10.0   10.0    100   7.65    325     13  282.1  303.3  283.4
 1000.0    301    9.4    9.4    100   7.45    340     14  282.6  303.2  283.8
  993.0    359    9.1    9.1    100   7.35    350     15  282.8  303.2  284.1
  986.0    418    8.8    8.8    100   7.25    355     15  283.1  303.2  284.3
  975.0    510    8.3    8.3    100   7.09    345     13  283.5  303.2  284.7
  961.0    630    7.7    7.7    100   6.88    350     11  284.0  303.3  285.2
  951.0    716    7.2    7.2    100   6.74    325     12  284.4  303.3  285.6
  946.0    760    7.0    7.0    100   6.67    325     13  284.6  303.3  285.8
  938.0    830    6.6    6.6    100   6.56    337     14  284.9  303.4  286.0
  933.0    874    6.6    6.4     98   6.49    345     15  285.4  303.6  286.5
  925.0    945    6.6    6.0     96   6.38    345     14  286.1  304.1  287.1
  924.0    954    6.6    5.8     95   6.29    344     14  286.1  304.0  287.2
  915.0   1034    6.3    5.4     94   6.17    335     14  286.6  304.2  287.7
  902.0   1151    5.8    4.8     93   6.00    335     16  287.3  304.4  288.3
  892.0   1243    5.4    4.3     93   5.87    346     17  287.8  304.6  288.8
  884.0   1317    5.6    4.4     92   5.96    355     17  288.7  305.8  289.7
  882.0   1335    5.6    4.4     92   5.98    355     17  288.9  306.1  290.0
  873.0   1419    5.4    2.8     84   5.40    355     18  289.6  305.2  290.5
  860.0   1542    5.1    0.5     72   4.65     10     19  290.5  304.1  291.3
  857.0   1570    5.0    0.0     70   4.49     11     19  290.7  303.9  291.5
  853.0   1608    4.8   -5.2     48   3.06     13     18  290.9  300.1  291.4
  852.0   1618    4.8   -6.2     45   2.84     14     18  291.0  299.5  291.5
  850.0   1637    5.0  -11.0     30   1.95     15     18  291.4  297.4  291.7
  849.0   1647    5.0  -15.0     22   1.41     16     18  291.5  295.9  291.7
  848.0   1656    5.2  -15.8     20   1.32     16     18  291.8  296.0  292.0
  842.0   1714    7.2  -20.8     12   0.87     19     18  294.5  297.3  294.6
  840.0   1734    7.6  -18.9     13   1.03     20     18  295.1  298.4  295.3
  838.0   1753    8.0  -17.0     15   1.21     19     18  295.7  299.6  295.9
  835.0   1783    7.8  -15.2     18   1.41     18     19  295.8  300.3  296.1
  828.0   1852    7.4  -16.6     16   1.27     16     20  296.1  300.2  296.3
  825.0   1882    7.4  -21.4     11   0.84     15     21  296.4  299.2  296.6
  823.0   1902    7.4  -24.6      8   0.64     13     21  296.6  298.8  296.7
  811.0   2023    6.6  -20.4     12   0.94      1     18  297.0  300.1  297.2
  810.0   2033    6.5  -18.0     15   1.15      0     18  297.0  300.8  297.2
  809.0   2043    6.4  -15.6     19   1.41    360     18  297.0  301.6  297.3
  808.0   2053    6.2  -10.8     28   2.09    359     18  296.9  303.5  297.3
  807.0   2063    6.0   -5.0     45   3.28    359     18  296.8  306.9  297.4
  805.0   2083    6.0   -4.0     49   3.55    359     19  297.0  307.9  297.6
  801.0   2124    5.6   -5.4     45   3.21    358     19  297.0  306.9  297.6
  799.0   2145    5.6   -9.4     33   2.36    357     19  297.2  304.6  297.6
  798.0   2155    5.6   -8.4     36   2.55    357     19  297.3  305.3  297.8
  797.0   2165    5.4   -5.6     45   3.17    357     19  297.2  307.0  297.8
  791.0   2227    5.0   -8.0     38   2.66    355     20  297.4  305.7  297.9
  785.0   2289    4.6  -10.4     33   2.22      0     22  297.6  304.6  298.0
  778.0   2362    3.8   -5.2     52   3.35      3     21  297.5  307.9  298.1
  775.0   2393    3.6   -1.4     70   4.48      4     21  297.7  311.2  298.5
  762.0   2530    3.0   -3.2     64   3.97     10     20  298.4  310.5  299.1
  743.0   2735    2.0   -6.0     55   3.30     10     19  299.5  309.8  300.1
  724.0   2943    0.6   -6.4     59   3.29     10     19  300.2  310.4  300.8
  712.0   3077   -0.2   -8.7     53   2.79     10     18  300.7  309.5  301.2
  700.0   3213   -1.1  -11.1     47   2.35      0     18  301.2  308.7  301.7
  693.0   3293   -1.4  -12.5     43   2.12    355     19  301.7  308.6  302.1
  687.0   3363   -1.7  -13.7     39   1.94    357     21  302.2  308.5  302.5
  679.0   3456   -2.4  -13.7     41   1.96      0     23  302.5  308.8  302.8
  675.0   3503   -2.7  -13.7     43   1.98      0     24  302.6  309.0  302.9
  658.0   3704   -4.0  -16.2     38   1.65      0     27  303.3  308.7  303.6
  645.0   3862   -5.1  -18.1     35   1.43    351     28  303.8  308.6  304.1
  644.0   3874   -5.2  -18.2     35   1.42    350     28  303.9  308.6  304.2
  630.0   4047   -5.8  -19.7     33   1.28     10     26  305.1  309.4  305.3
  628.0   4072   -5.9  -19.9     32   1.26     10     26  305.2  309.5  305.5
  625.0   4110   -5.9  -22.9     25   0.98      9     27  305.7  309.0  305.8
  613.0   4261   -7.3  -23.3     27   0.96      6     30  305.8  309.0  305.9
  607.0   4338   -7.9  -24.4     25   0.88      5     31  305.9  308.9  306.1
  601.0   4415   -8.5  -25.5     24   0.80     12     32  306.1  308.9  306.2
  594.0   4506   -9.0  -28.7     19   0.60     20     34  306.5  308.6  306.6
  583.0   4650   -9.9  -33.9     12   0.37     25     31  307.1  308.5  307.2
  578.0   4717  -10.3  -36.3     10   0.30     27     35  307.4  308.5  307.5
  573.0   4784   -9.6  -42.3      5   0.16     30     39  309.0  309.6  309.0
  572.0   4798   -9.5  -43.5      4   0.14     30     40  309.3  309.8  309.3
  557.0   4999  -11.3  -44.7      4   0.13     25     47  309.5  310.0  309.6
  543.0   5193  -13.0  -45.8      5   0.12     20     45  309.8  310.2  309.8
  533.0   5334  -14.2  -46.6      5   0.11     25     48  309.9  310.4  309.9
  516.0   5581  -16.4  -48.1      5   0.10     25     39  310.2  310.6  310.2
  507.0   5714  -17.6  -48.9      5   0.09     30     43  310.3  310.7  310.3
  500.0   5820  -18.5  -49.5      5   0.08     30     41  310.4  310.8  310.4
  489.0   5985  -20.1  -51.1      4   0.07     30     43  310.4  310.7  310.4
  484.0   6060  -20.8  -50.7      5   0.08     30     44  310.5  310.8  310.5
  475.0   6197  -22.0  -50.0      6   0.08     35     42  310.7  311.0  310.7
  453.0   6544  -25.1  -48.1     10   0.11     35     44  311.0  311.4  311.1
  445.0   6672  -26.2  -50.0      9   0.09     35     45  311.2  311.6  311.2
  425.0   7002  -29.1  -55.1      6   0.05     31     42  311.6  311.9  311.6
  422.0   7052  -29.6  -54.6      7   0.05     30     42  311.7  311.9  311.7
  402.0   7395  -32.8  -51.4     14   0.08     25     49  311.9  312.2  311.9
  400.0   7430  -33.1  -51.1     15   0.09     25     49  311.9  312.2  311.9
  397.0   7483  -33.7  -50.7     16   0.09     26     49  311.8  312.1  311.8
  389.0   7626  -34.9  -50.9     18   0.09     27     48  312.0  312.4  312.0
  382.0   7753  -35.9  -51.9     18   0.08     28     47  312.3  312.7  312.4
  379.0   7808  -36.1  -55.1     12   0.06     29     46  312.8  313.0  312.8
  372.0   7937  -37.1  -57.1     11   0.05     30     45  313.1  313.3  313.1
  371.0   7956  -37.2  -56.8     11   0.05     30     45  313.1  313.4  313.2
  363.0   8107  -38.5  -54.5     17   0.06     32     48  313.4  313.7  313.5
  357.0   8221  -39.3  -58.3     12   0.04     33     51  313.9  314.0  313.9
  350.0   8354  -40.5  -58.9     12   0.04     35     54  314.1  314.2  314.1
  333.0   8689  -43.5  -60.5     14   0.03     35     46  314.5  314.6  314.5
  326.0   8832  -44.7  -61.1     14   0.03     30     46  314.6  314.8  314.6
  321.0   8935  -45.6  -61.6     15   0.03     35     44  314.8  314.9  314.8
  311.0   9148  -47.5  -62.6     16   0.03     30     50  315.0  315.1  315.0
  300.0   9390  -49.7  -63.7     18   0.02     30     45  315.2  315.3  315.2
  293.0   9542  -51.0  -64.1     19   0.02     30     53  315.6  315.6  315.6
  275.0   9950  -54.3  -65.3     25   0.02     34     58  316.5  316.6  316.5
  272.0  10020  -54.9  -66.9     21   0.02     35     58  316.6  316.7  316.6
  270.0  10067  -55.3  -67.0     22   0.02     35     59  316.7  316.8  316.7
  260.0  10305  -57.3  -67.3     27   0.02     35     55  317.2  317.2  317.2
  254.0  10451  -58.9  -66.9     35   0.02     35     53  316.9  317.0  316.9
