03808 Camborne Observations at 12Z 22 Jun 2017
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1006.0     88   16.6   13.9     84  10.01    290     10  289.3  317.6  291.0
 1002.0    121   15.0   13.4     90   9.73    283     11  288.0  315.4  289.7
 1000.0    137   14.8   13.1     90   9.56    280     12  287.9  314.8  289.6
  996.0    171   14.6   12.6     88   9.27    280     15  288.1  314.2  289.7
  993.0    197   14.4   12.2     87   9.06    280     16  288.1  313.7  289.7
  990.0    222   14.2   12.6     90   9.35    280     17  288.1  314.5  289.8
  988.0    239   14.0   12.9     93   9.55    282     17  288.1  315.0  289.8
  980.0    308   13.7   11.5     87   8.79    290     16  288.5  313.4  290.0
  978.0    325   13.6   11.2     85   8.61    290     16  288.6  312.9  290.1
  968.0    412   12.9   11.0     88   8.58    290     15  288.8  313.1  290.2
  954.0    534   12.0   10.7     92   8.53    279     15  289.0  313.2  290.5
  949.0    579   11.8   10.2     90   8.30    275     15  289.2  312.8  290.7
  935.0    703   11.2    8.8     85   7.65    278     14  289.9  311.8  291.2
  925.0    793   10.4    8.9     90   7.79    280     14  289.9  312.2  291.3
  923.0    811   10.2    8.9     91   7.80    280     13  289.9  312.2  291.3
  915.0    883    9.6    8.8     95   7.85    285     12  290.0  312.5  291.4
  905.0    975    8.8    8.8    100   7.91    297     14  290.1  312.7  291.5
  902.0   1002    8.7    8.7    100   7.87    300     14  290.3  312.8  291.6
  895.0   1067    8.4    8.4    100   7.78    300     16  290.6  312.9  292.0
  885.0   1160    8.0    8.0    100   7.66    283     19  291.1  313.1  292.5
  884.0   1169    8.0    7.9     99   7.61    282     19  291.2  313.1  292.6
  883.0   1178    8.2    7.6     96   7.46    280     19  291.5  313.0  292.8
  878.0   1225    9.2    6.0     80   6.72    282     20  293.0  312.6  294.2
  874.0   1263   11.6    5.6     67   6.56    283     20  295.9  315.3  297.1
  870.0   1302   12.2    4.5     59   6.09    285     21  296.9  315.0  298.0
  867.0   1331   12.6    3.6     54   5.75    285     20  297.6  314.9  298.7
  863.0   1370   12.6    1.6     47   5.00    285     19  298.0  313.1  298.9
  856.0   1438   12.6    2.6     51   5.42    285     17  298.7  315.1  299.7
  853.0   1467   12.9    1.4     45   4.99    285     16  299.3  314.5  300.2
  852.0   1477   13.0    1.0     44   4.85    283     17  299.6  314.3  300.4
  850.0   1497   13.0    0.0     41   4.52    280     18  299.8  313.6  300.6
  848.0   1517   13.0   -1.0     38   4.21    279     19  299.9  312.9  300.7
  842.0   1576   12.6   -0.4     41   4.43    276     22  300.1  313.7  300.9
  841.0   1586   12.6    0.3     43   4.69    275     23  300.2  314.6  301.1
  838.0   1616   12.6    2.6     51   5.54    277     22  300.6  317.4  301.6
  836.0   1636   12.6    0.6     44   4.80    279     21  300.8  315.4  301.6
  834.0   1657   12.6    2.6     51   5.56    280     20  301.0  317.9  302.0
  833.0   1667   12.6    3.6     54   5.98    279     20  301.1  319.2  302.1
  825.0   1748   12.2    5.2     62   6.77    270     20  301.5  321.9  302.7
  817.0   1829   11.8    1.8     50   5.36    275     21  301.9  318.3  302.9
  813.0   1870   11.8   -3.0     35   3.79    275     18  302.3  314.1  303.0
  812.0   1881   11.8   -4.2     32   3.47    273     17  302.4  313.3  303.1
  810.0   1901   11.8   -5.2     30   3.22    269     16  302.6  312.8  303.2
  806.0   1943   11.6   -2.6     37   3.94    260     14  302.8  315.1  303.5
  803.0   1974   11.4   -0.6     43   4.58    262     15  303.0  317.1  303.8
  797.0   2037   11.0    0.0     47   4.82    267     16  303.2  318.1  304.1
  795.0   2058   11.2   -3.8     35   3.65    268     17  303.6  315.1  304.3
  793.0   2079   11.2   -2.8     37   3.94    270     17  303.8  316.2  304.6
  786.0   2153   11.0   -9.0     24   2.47    265     18  304.4  312.3  304.8
  778.0   2238   12.0  -23.0      7   0.78    259     20  306.4  309.1  306.5
  766.0   2366   11.1  -22.6      8   0.82    250     22  306.7  309.5  306.9
  750.0   2541    9.8  -22.1      9   0.87    250     32  307.2  310.2  307.3
  708.0   3017    6.3  -20.7     12   1.05    260     27  308.4  312.0  308.6
  700.0   3111    5.6  -20.4     13   1.08    265     31  308.6  312.4  308.9
  686.0   3276    4.2  -21.8     13   0.98    270     30  308.9  312.3  309.1
  656.0   3638    3.2  -29.8      7   0.50    266     37  311.7  313.5  311.8
  650.0   3712    2.7  -30.7      6   0.46    265     38  312.0  313.7  312.1
  625.0   4028    0.6  -34.4      5   0.33    262     39  313.1  314.3  313.2
  614.0   4170    0.2  -33.1      6   0.38    260     39  314.2  315.7  314.3
  605.0   4288   -0.1  -32.1      7   0.43    258     37  315.2  316.8  315.3
  591.0   4475   -1.7  -39.7      4   0.21    254     35  315.5  316.3  315.5
  584.0   4569   -2.5  -38.5      4   0.24    252     33  315.6  316.5  315.6
  580.0   4624   -2.9  -23.9     18   0.96    251     32  315.8  319.2  315.9
  578.0   4651   -3.2  -23.7     19   0.98    250     32  315.8  319.2  315.9
  571.0   4747   -4.1  -23.1     21   1.05    253     33  315.8  319.5  316.0
  568.0   4788   -4.5  -25.5     18   0.85    255     33  315.8  318.8  315.9
  561.0   4886   -5.1  -23.1     23   1.07    258     34  316.2  320.0  316.4
  557.0   4942   -5.3  -35.3      7   0.34    260     35  316.6  317.9  316.7
  553.0   4999   -5.7  -43.7      3   0.14    265     36  316.8  317.4  316.8
  549.0   5055   -6.0  -42.5      4   0.17    270     37  317.1  317.7  317.1
  545.0   5112   -6.3  -41.3      4   0.19    272     36  317.4  318.1  317.4
  543.0   5141   -6.3  -33.3     10   0.43    273     35  317.7  319.3  317.8
  540.0   5184   -6.8  -31.5     12   0.51    275     34  317.7  319.6  317.8
  539.0   5199   -6.9  -30.9     13   0.54    275     34  317.7  319.7  317.8
  536.0   5242   -7.3  -25.3     22   0.92    273     36  317.7  321.0  317.9
  526.0   5389   -8.3  -21.3     34   1.33    269     41  318.2  322.9  318.5
  524.0   5418   -8.5  -19.5     41   1.57    268     42  318.3  323.8  318.6
  520.0   5478   -8.9  -18.9     44   1.66    267     44  318.5  324.3  318.9
  516.0   5537   -9.2  -20.8     38   1.42    265     46  318.9  323.8  319.1
  515.0   5552   -9.3  -21.3     37   1.36    265     46  318.9  323.7  319.2
  500.0   5780  -11.1  -22.1     40   1.31    265     41  319.4  324.1  319.7
  497.0   5826  -11.6  -21.8     42   1.35    265     40  319.4  324.2  319.7
  496.0   5841  -11.7  -21.7     43   1.37    266     40  319.4  324.3  319.7
  487.0   5981  -12.7  -25.7     33   0.97    271     39  319.9  323.4  320.1
  482.0   6060  -12.7  -29.7     23   0.68    274     38  320.8  323.3  321.0
  481.0   6076  -12.8  -29.5     23   0.70    275     38  320.9  323.5  321.0
  476.0   6155  -13.3  -28.3     27   0.78    279     39  321.2  324.1  321.4
  474.0   6187  -13.6  -27.6     30   0.84    280     39  321.3  324.4  321.5
  470.0   6251  -14.1  -26.1     36   0.97    280     40  321.4  324.9  321.6
  456.0   6479  -16.1  -26.1     42   1.00    280     42  321.7  325.3  321.9
  453.0   6529  -16.7  -25.7     46   1.05    280     42  321.6  325.3  321.8
  447.0   6629  -17.4  -27.4     41   0.91    280     43  321.9  325.2  322.1
  441.0   6730  -18.1  -29.1     38   0.79    277     38  322.3  325.1  322.4
  438.0   6780  -18.1  -32.1     28   0.60    276     36  322.9  325.1  323.0
  436.0   6814  -18.4  -32.6     28   0.57    275     34  323.0  325.1  323.1
  423.0   7039  -20.1  -35.8     23   0.43    275     36  323.6  325.2  323.7
  420.0   7092  -20.5  -36.5     23   0.40    277     36  323.7  325.3  323.8
  407.0   7323  -22.3  -37.0     25   0.39    285     36  324.3  325.8  324.4
  400.0   7450  -23.3  -37.3     27   0.39    295     38  324.6  326.1  324.7
  397.0   7505  -23.7  -36.7     29   0.42    300     39  324.8  326.4  324.9
  376.0   7901  -26.7  -39.7     28   0.32    295     41  325.9  327.2  326.0
  371.0   7998  -27.3  -44.3     18   0.20    295     40  326.4  327.2  326.4
  367.0   8076  -27.9  -45.9     16   0.17    295     38  326.6  327.3  326.6
  358.0   8255  -29.3  -47.3     16   0.15    295     36  327.0  327.6  327.1
  357.0   8275  -29.7  -46.7     18   0.16    295     35  326.8  327.4  326.8
  356.0   8295  -29.8  -45.3     21   0.19    295     35  326.9  327.6  326.9
