00Z 01 01 2017, 31.97, 13.55
12Z 01 01 2017, 2.42, 16.18
00Z 02 01 2017, 0.00, 10.99
12Z 02 01 2017, 0.00, 6.68
00Z 03 01 2017, 0.00, 6.42
12Z 03 01 2017, 0.00, 8.81
00Z 04 01 2017, 0.00, 8.73
12Z 04 01 2017, 0.09, 9.40
00Z 05 01 2017, 0.14, 9.92
12Z 05 01 2017, 0.00, 11.26
00Z 06 01 2017, 0.00, 13.63
12Z 06 01 2017, 0.00, 21.49
00Z 07 01 2017, 0.00, 21.19
12Z 07 01 2017, 0.00, 19.66
00Z 08 01 2017, 18.25, 16.97
12Z 08 01 2017, 0.00, 15.72
00Z 09 01 2017, 5.39, 18.55
12Z 09 01 2017, 0.13, 21.74
00Z 10 01 2017, 19.45, 12.70
12Z 10 01 2017, 1.25, 22.69
00Z 11 01 2017, 0.00, 15.20
12Z 11 01 2017, 0.00, 10.34
00Z 12 01 2017, 14.42, 15.54
12Z 12 01 2017, 1.27, 16.00
00Z 13 01 2017, 215.73, 8.18
12Z 13 01 2017, 15.91, 7.12
00Z 14 01 2017, 58.54, 9.07
12Z 14 01 2017, 19.22, 13.08
00Z 15 01 2017, 52.76, 12.89
12Z 15 01 2017, 10.81, 17.94
00Z 16 01 2017, 2.67, 17.90
12Z 16 01 2017, 0.00, 17.15
00Z 17 01 2017, 0.90, 13.50
12Z 17 01 2017, 2.18, 15.48
00Z 18 01 2017, 0.44, 16.87
12Z 18 01 2017, 0.00, 13.51
00Z 19 01 2017, 0.00, 9.98
12Z 19 01 2017, 0.00, 9.19
00Z 20 01 2017, 0.00, 7.33
12Z 20 01 2017, 0.00, 7.29
00Z 21 01 2017, 0.00, 6.32
12Z 21 01 2017, 0.00, 7.55
00Z 22 01 2017, 0.00, 12.06
12Z 22 01 2017, 0.00, 11.67
00Z 23 01 2017, 7.17, 9.12
12Z 23 01 2017, 0.00, 8.52
00Z 24 01 2017, 0.00, 7.99
12Z 24 01 2017, 4.59, 12.95
00Z 25 01 2017, 0.00, 11.91
12Z 25 01 2017, 0.00, 5.72
00Z 26 01 2017, 0.00, 4.88
12Z 26 01 2017, 0.06, 4.51
00Z 27 01 2017, 0.00, 6.82
12Z 27 01 2017, 0.16, 15.16
00Z 28 01 2017, 0.00, 14.60
12Z 28 01 2017, 84.24, 9.60
00Z 29 01 2017, 9.24, 12.18
12Z 29 01 2017, 0.00, 24.47
00Z 30 01 2017, 0.00, 15.85
12Z 30 01 2017, 0.00, 25.68
00Z 31 01 2017, 0.00, 22.55
12Z 31 01 2017, 0.30, 24.34
00Z 01 02 2017, 37.55, 15.78
12Z 01 02 2017, 28.33, 18.83
00Z 02 02 2017, 0.00, 26.21
12Z 02 02 2017, 32.68, 15.57
00Z 03 02 2017, 38.63, 12.16
12Z 03 02 2017, 2.35, 17.44
00Z 04 02 2017, 20.72, 9.53
12Z 04 02 2017, 0.00, 10.41
00Z 05 02 2017, 0.00, 9.15
12Z 05 02 2017, 38.89, 11.45
00Z 06 02 2017, 0.00, 6.32
12Z 06 02 2017, 0.00, 23.17
00Z 07 02 2017, 8.57, 10.97
12Z 07 02 2017, 0.00, 8.86
00Z 08 02 2017, 0.00, 8.98
12Z 08 02 2017, 3.92, 9.09
00Z 09 02 2017, 0.00, 7.61
12Z 09 02 2017, 4.55, 8.62
00Z 10 02 2017, 0.00, 7.24
12Z 10 02 2017, 0.00, 8.11
00Z 11 02 2017, 0.00, 4.95
12Z 11 02 2017, 6.02, 8.38
