01 01 2017, 31.97, 13.55
02 01 2017, 0.00, 10.99
03 01 2017, 0.00, 6.42
04 01 2017, 0.00, 8.73
05 01 2017, 0.14, 9.92
06 01 2017, 0.00, 13.63
07 01 2017, 0.00, 21.19
08 01 2017, 18.25, 16.97
09 01 2017, 5.39, 18.55
10 01 2017, 19.45, 12.70
11 01 2017, 0.00, 15.20
12 01 2017, 14.42, 15.54
13 01 2017, 215.73, 8.18
14 01 2017, 58.54, 9.07
15 01 2017, 52.76, 12.89
16 01 2017, 2.67, 17.90
17 01 2017, 0.90, 13.50
18 01 2017, 0.44, 16.87
19 01 2017, 0.00, 9.98
20 01 2017, 0.00, 7.33
21 01 2017, 0.00, 6.32
22 01 2017, 0.00, 12.06
23 01 2017, 7.17, 9.12
24 01 2017, 0.00, 7.99
25 01 2017, 0.00, 11.91
26 01 2017, 0.00, 4.88
27 01 2017, 0.00, 6.82
28 01 2017, 0.00, 14.60
29 01 2017, 9.24, 12.18
30 01 2017, 0.00, 15.85
31 01 2017, 0.00, 22.55
01 02 2017, 37.55, 15.78
02 02 2017, 0.00, 26.21
03 02 2017, 38.63, 12.16
04 02 2017, 20.72, 9.53
05 02 2017, 0.00, 9.15
06 02 2017, 0.00, 6.32
07 02 2017, 8.57, 10.97
08 02 2017, 0.00, 8.98
09 02 2017, 0.00, 7.61
10 02 2017, 0.00, 7.24
11 02 2017, 0.00, 4.95
12 02 2017, 0.00, 7.15
13 02 2017, 0.00, 18.59
14 02 2017, 0.00, 21.55
15 02 2017, 10.63, 15.86
16 02 2017, 60.35, 11.47
17 02 2017, 0.01, 13.47
18 02 2017, 0.00, 18.40
19 02 2017, 0.00, 14.06
20 02 2017, 0.00, 26.61
21 02 2017, 0.00, 16.69
22 02 2017, 9.33, 13.65
23 02 2017, 0.48, 18.31
24 02 2017, 5.58, 10.31
25 02 2017, 8.09, 18.28
26 02 2017, 1.44, 14.42
27 02 2017, 2.56, 12.16
28 02 2017, 205.90, 9.82
01 03 2017, 42.90, 9.92
02 03 2017, 10.36, 7.91
03 03 2017, 0.00, 12.23
04 03 2017, 4.21, 7.99
05 03 2017, 19.31, 10.67
06 03 2017, 4.67, 10.48
07 03 2017, 2.18, 10.69
08 03 2017, 0.00, 23.55
09 03 2017, 0.00, 24.70
10 03 2017, 7.86, 19.28
11 03 2017, 0.00, 15.68
12 03 2017, 0.00, 18.46
13 03 2017, 0.00, 8.90
14 03 2017, 0.00, 18.05
15 03 2017, 0.00, 23.67
16 03 2017, 0.00, 17.16
17 03 2017, 0.00, 9.65
18 03 2017, 0.00, 27.85
19 03 2017, 0.00, 21.88
20 03 2017, 0.00, 24.75
21 03 2017, 9.60, 7.98
22 03 2017, 9.65, 12.47
23 03 2017, 4.85, 8.99
24 03 2017, 0.00, 15.92
25 03 2017, 0.00, 12.60
26 03 2017, 0.00, 9.72
27 03 2017, 0.00, 12.11
28 03 2017, 0.00, 15.98
29 03 2017, 0.88, 21.54
30 03 2017, 0.00, 21.92
31 03 2017, 0.03, 24.49
01 04 2017, 97.89, 13.84
02 04 2017, 0.00, 12.44
03 04 2017, 0.00, 9.61
04 04 2017, 0.00, 12.72
05 04 2017, 0.00, 10.40
06 04 2017, 0.00, 9.21
07 04 2017, 0.00, 10.34
08 04 2017, 0.00, 10.55
09 04 2017, 0.00, 12.53
10 04 2017, 0.00, 15.15
11 04 2017, 4.03, 16.75
12 04 2017, 1.23, 15.93
13 04 2017, 8.63, 13.81
14 04 2017, 0.00, 14.30
15 04 2017, 0.00, 20.30
16 04 2017, 27.09, 16.31
17 04 2017, 19.72, 14.83
18 04 2017, 0.00, 12.45
19 04 2017, 0.00, 14.79
20 04 2017, 0.00, 15.72
21 04 2017, 0.00, 14.75
22 04 2017, 0.00, 11.33
23 04 2017, 0.00, 14.39
24 04 2017, 0.00, 15.08
25 04 2017, 0.00, 10.25
26 04 2017, 0.00, 9.93
27 04 2017, 5.08, 8.83
28 04 2017, 70.69, 13.68
29 04 2017, 15.47, 11.70
